,Article
619,"Her iyileşmenin bir bedeli var. En son bundan bahsediyordum anneme. Terapi sürecimden konuşuyorduk. “Oh ne güzel ben de gitsem de anlatıp anlatıp rahatlasam” dedi. Ben de “O tam öyle olmuyor, ödevlerin, derslerin oluyor, ona göre hareket etmeye çalışıyorsun ve bunun da bir bedeli oluyor.” Dedim. Hemen vazgeçti. Vazgeçmesin istedim. Vazgeçmesin diye belki de, ona tekrar kendimi açtım. Kendi “ödevimi” gösterdim. Artık hayatımda etrafımda kendime yakın olan herkese dürüst olacaktım. Birini sevdiğimden, aşık olduğumdan bahsettim ona. Aşık olduğumu, ama var olan kalıplarla sevmek istemediğimi söyledim. Evliliği düşünmediğimi, sırf bir imza için ilişkimi hiç tanımadığım ve bende emeği olmayan onlarca insana kanıtlamak durumunda olmak fikrinin bana uzak geldiğini, Allah’ın karşısında ve onun gözünün önünde olduğumu söyledim. Bana çok kabullenici yaklaştı. Çok şaşırdım! Beklemiyordum hiç ama demek ki konuştuklarımız işe yarıyordu. Hayatımda bu kadar mutlu olduğum çok az an vardır sanırım. Etrafımdaki bir sürü insanı aradım annemin yanından ayrıldıktan sonra, böyle hoplaya zıplaya eve gittim neredeyse."
620,"Sonra, tam iki gün sonra, sabahın erken vakitlerinde annemden bir mesaj aldım: “O adam hayatında olduğu sürece ben, baban, kardeşin yokuz. Sana öğrettiğimiz ahlaklı hayatı yaşarsın inşallah. Oğlunun da bizim de yüzümüzü önümüze eğecek bir şey yapma.” Ahlak… Yokuz… Yüzünü öne eğmek… Oğlum… Cuma annemden ayrıldıktan sonra ilk şok ve mutluluk sarhoşluğu geçtiğinde içime bir hüzün çökmeye başlamıştı zaten. Ama konduramadım çünkü yaşadığım mutluluğun gerçek olmasını çok istedim. Ama işte asıl gerçek orada telefon ekranındaydı. Sessiz. Sadece Whatsapp ekranında kelimeler. Bir röportaj vardı o gün, nefes aldım, yola koyuldum. Düşünmemeye çalıştım. Ailemin bana sağladığı olanakları övdüm, onların hakkını verdim. Ama sonra o iş bittiğinde, dışarı çıktığımda tek hatırladığım en yakın arkadaşlarımdan birini arayıp “Annem yine beni bıraktı, beni terk etti!” diye bağıra bağıra ağlamam. Sonra sonra anladım ne demek istediğimi."
621,"Hikaye çocukluğumda başlıyor, çocukluğumdan sonra üzerime çöken o ağır hüzünle. O hüznün kaynağını çok sonradan keşfettim: Babamın bende bıraktığı izler. Babamın kendi zihniyle inşa ettiği hapishanede ailecek, hep beraber yaşamışız meğer, ben ancak anlıyorum. Hapishane tam bir Panoptikon[1]. Kimse sizi doğrudan gözetlemiyor. Hiçbir hareketiniz doğrudan kısıtlanmıyor. Ama hep biliyorsunuz, o gözler üzerinizde. Tüm hayatım boyunca beni takip eden gözler, sesler, zaman içerisinde içime koskocaman bir melankoli, depresyon ve anksiyete olarak oturmuş meğer. Hata yapmaktan korkum kendi boyumu aşmış. Bu süreci kolaylaştıracak tek şey belki de şefkatken, işte annem tam da o noktada beni terk etmiş. İşte sonradan anladığım bu oldu. “Annem yine beni bıraktı, beni terk etti” derken bunu kastediyormuşum. O bir süreliğine dışarı çıksa da, hemen korkuyla Panoptikon’daki hücresine geri dönmüş. Kendisini izleyen gözlere dair korkusu elini kolunu bağlamış. "
622,"Halbuki bu Panoptikon sadece bizim zihnimizdeymiş. Oradan çıkış varmış. Keşke ben küçükken, gençken biri elimden tutsa ve “yanlış da yalnız da değilsin” deseymiş, ama işte dememiş, ben de o hapishanede kalakalmışım. Ama sonra, kadınların yıllardır kulağıma fısıldadığı, benim de büyütmeye çalıştığım bu ses, “yanlış da yalnız da değilsin” sesi gün gelip merhemim olacakmış, haberim yokmuş. Çünkü aslında yanlış da yalnız da değilmişim. Bir kişinin zihnindeki hapishanede mahpusmuşum ve dışarısının varlığından haberdar bile değilmişim."
623,"Ama nasıl olduysa içimde bir yerde saklamayı becerdiğim küçük kız sonunda bana sesini duyurmayı başardı. Bu hapishanenin illüzyonunu anlattı. Anlatma yolu da aşk oldu, kalp çarpıntısı. Geçen oğlum diyordu, “Anne insanın kalbinin çarpması çok güzel bir şey değil mi, senin de kalbin çarpıyor” diye. O da biliyor güzelliğin adını koymanın, çok şükür. Evet işte, o kalp çarpıntısı beni o kara delikten kurtardı. Hep varmış gibi yaptığım tüm gücün gerçek bir halini yanıma verdi. Gözümde yaşlarla yola koyulmama vesile oldu."
624,"Annemin sabah gelen mesajının ardından, daha tam o mesajın şokunu atlatamamışken akşamüstü babamdan bir mesaj aldım. “Eğer duyduklarım doğruysa o evi boşaltacaksın”. Senelerce ne maddi ve şimdi de manevi olarak hiçbir şey borçlu olmadığımı artık anladığım ebeveynlerimin bana bahşettiği, üzerimde de zaten eğreti duran çocukluk evimi de terk etmem gerektiğini bu şekilde öğrendim. Mesajla. Bir Whatsapp ekranında. Kelimelerle. Sessiz. "
625,"Bir sonraki gün sanki tüm hayatım boyunca bunu bekliyormuşçasına “kurtuluş operasyonumu” başlattım. Hemen bir ev buldum. Allah yine yardım etti, bunca zorluk içerisinde içime sinen bir ev buldum. Pahalıydı, madden zorlanacaktım, ama varsın bunun için zorlanayımdı. Birkaç gün sonra çocukluğumda aldığım için babamın üstüne kayıtlı olan telefon hattıma alternatif bir hat aldım. Telefon değiştirme sürecimi başlattım. Ve 29 Ekim 2021 Cuma günü, babamın mesajından tam 4 gün sonra evi boşaltıp onları bana hatırlatan tüm eşyalarımı da evin içerisinde bırakarak oradan ayrıldım. Bugün, yağan kar vesilesiyle, o evin penceresinden gördüğüm manzarayı hala özlediğimi fark ettim. Ama o evde yaşadığım mutsuzlukları hiç özlemiyorum. Ergenliğimin çaresizliği, anneliğimin beceremediğim kısmı, evliliğimin sona erişi… Hepsi o evde olmuştu ve hepsine veda etmenin vakti gelmişti demek ki."
626,"O günden beri annem ve babamdan haber almadım. Yeğenimi bir kez, o da dışarıda denk gelince görebildim. Oğlumu da görmek istemediler. İçimde derinden derine bir öfke olsa da artık kabullendiğim bir aşamaya doğru geçiyorum sanırım. Sevmek, kendi annelik sürecimden de bildiğim haliyle insana “ilham” olmuyor. Emek emek dokunuyor. Emek verdikçe büyüyor, yeşeriyor, güzelleşiyor. “Zorunluluktan”, “görev bilinciyle” olmuyor. Şefkat herkesin içinde kendiliğinden büyümüyor. Yoksa dünya üzerinde bunca acı, bunca zulüm olmazdı. Zulme karşı çıkmayı bana öğrettiğini söyleyen annem ve babam bana bu macera vesilesiyle zulme karşı çıkmanın şefkatle olan zorunlu bağını da öğretmiş oldu. Biraz acılı oldu ama artık daha iyi bir insan olmak için elimde daha çok şey var. Şefkatle sarıp sarmalamak istiyorum etrafımdaki onca mazlumu. Özellikle de benim gibi birden “kapının önüne konan” kadınları. Ama benim örneğimde bir nüans var. Ben kendimi kapının önüne kendim koydurdum. Artık bu hapishaneden kurtulmam gerektiğini biliyormuşum içten içe. Artık bu yalanı yaşayamayacak kadar dürüstmüşüm. Dersimi almışım. Ödevimi iyi yapmışım, her zamanki gibi. Şimdi sırada yeni ödevlerimi yapmak ve mümkünse de bolca “hata” yapmak var. Tüm kadınlara, “hatalarından” sarılıyorum. Yanlış da yalnız da değiliz!"
627,"[1] Wikipedia alıntısı da olsa yapayım: “Panoptikon’un temelinde yatan ilke, tek odalı hücrenin içindeki sakine saklanacak hiçbir yer bırakmaması, buna karşılık dış cephedeki duvarın penceresinden gelen dış ışığın kuledeki nöbetçilere mahpusun her hareketinin bir silüetini izleme olanağını sağlamasıydı. Bentham’ın yaklaşımına göre, gözlemlenen her yanlış davranışının ceza getireceğini bilen, ama davranışlarının aslında ne zaman gözlemlendiğini bilmeyen mahpusun, aklını başına toplayarak her zaman izleniyormuşçasına davranmaktan başka seçeneği yoktu. Böylece mahkûm bizzat kendi hareketlerini kollamak durumunda kalacaktı.”"
628,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
629,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
630,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
631,Konuk Yazar: Esra Karadoğan
632,"Yapılan her eylemin politik olduğu söylemi bana eskiden biraz abartılı gelirdi, ilk gençliğimde özellikle. Başımı örtmek istediğimde, bunun sadece ve sadece inancımla ilgili olduğu konusunda kendimi inandırmıştım. Niyetim de buydu. Fakat babam beni uyardı, tecrübe diyelim, ikna olmadım. Aradan yıllar geçti. Geçenlerde YouTube’ta yayınlanan bir videoda, baş örtüsünün politik olduğundan bahsediliyordu ve bu videoya baş örtülü pek çok kadın tepki gösterdi, ben de şunu söylemek isterim: Baş örtüsünün şu an taşıdığı sembole rağmen baş örtülü olmaktan vazgeçmemek de politik bir eylemdir. Vazgeçince etiketlendikleriniz de aynı şekilde. Kabullenmesi bazen zor oluyor."
633,"Şu an daha iyi anlıyorum ya da anladığımı sanıyorum, belki ileride bu konuda tekrar fikirlerim değişecek, bilemiyorum. Bu yazı kimseye ders vermek niyetiyle yazılmadı ama bir iç döküş, bir kendi kendimi sağlama yapmak belki. Baş örtüsü haricinde de pek çok davranışımızın politik yönünü, öğrendiklerim uygulamayla örtüşüyor. "
634,"Yıllarca yazmak istedim ama politik olmak beni hep çok korkuttu. Kendi ismimle yazmak istemedim mesela, hatta moda gibi hafif konular yazmak istedim bu yüzden. Bunun hafif olduğuna kim karar verdi mesela ve kim politik bir eylem olmadığına inandırdı beni. Bir süre yazdım da tüm bunları. Politikayı, haberleri hiç takip etmedim. Kaçındım, “başka türlü huzurlu yaşamak mümkün değil,” dedim ama bir süre sonra beni bir şeyler rahatsız etmeye başladı. Politikadan, ülkede olanlardan kaçabilmek bile bir konfor göstergesiymiş, sonra anladım. Aradan zaman geçti, özüme dönmem lazım dedim. Amatörce yazdığım öykülere döndüm. Gündem ağzından alevler püskürten tehlikeli bir canavardı ve olanlara dair verdiğim tepkinin ve tepkisizliğin de bir anlamı vardı. Bir süre bu ikilemde kaldım. Bir gün vicdanımın sesini dinlemeye karar verdim. Kendime güvendiğim için değil ama içten içte sizi tırmalayan bir varlıkla yaşamak zordur. O sesi dinlemek de zordur. Bir seçim yaptığımın farkında olmadan ben birini seçtim. "
635,"Bir yazarın, bir sanatçının sorumluluğu olduğunu biliyordum hep ama ben o sorumluluklar olmadan yazmak istiyordum. “Hafif” romanlar yazmak istediğimi de hatırlıyorum. Belki yazdığım ilk roman gerçekten öyledir, bilemiyorum. Hayatımın bir dönemini sadece bu şekilde geçirmek istedim. Sanırım bu düşüncenin devamı olarak kitap incelemeleri yazmak bana en konforlu alan geldi. Bir kitabı potansiyel okurlarına anlatmakta ne sıkıntı olabilir diye düşündüm. Belki başlarda haklıydım. Yazmak istiyordum, yazacak bir alanım olsun istiyordum ve özgür olmak istiyordum. Kitap incelemelerim Agos Kirk’te yayımlanmaya başladığında inanılmaz mutlu oldum. Aslında kendimce durduğum yeri gösteriyordu bu, Hrant Dink’in gazetesinde yine amatör kitap incelemeleri yazan biriydim. Vicdanımı dinliyordum. O dönem birkaç yorum aldım, amacım sorgulanıyordu, neden başörtülü bir kadın olarak yazılarımı başka yerlere göndermediğim. İnsan bazen bilmez, bazen bilse de görmek, inanmak istemez. Amatör yazılarım da politik bir eylemmiş, anladım. Özellikle biri uzun uzun yazmıştı. Neye hizmet ediyorsunuz demişti. Hiçbir şeye hizmet ettiğimi düşünmüyordum ama mesajı yazanın niyetini anlamıştım. Yazılarımı gönderdiğim diğer yayınlarla ilgili neden böyle sorgulamaya gitmediğini soran mesaj attım, cevap alamadım. O an anladım ki ben Müslüman bir kadın olarak bir Ermeni gazetesinde yazıyordum, tehdit edilen, tehditleri şikayetleri yok sayılan ve sonra katledilen bir Ermeni’nin, Hrant Dink’in gazetesinde yazıyordum ve bu barış isteyen bir gazetecinin yanında alıyordum. Bu sandığımdan çok daha politik bir duruştu. "
636,"Şimdilerde Okuyan Güzel isimli bir kitap kulübümüz var, kulübü Seda Yılmaz ile pandeminin hayatlarımızı ele geçirmesinden sonra, birbirimizi çok da tanımadan attığımız birkaç tweet üzerine kurmaya karar verdik. Yine politik bir durum olup olmadığını sorgulamadan yaptığım bir eylemdi. Tek istediğim benim gibi pandemiyle insanlardan uzaklaşmak zorunda kalan kadınları bulup beraber kitap okumaktı. Zaman içerisinde kulüp gelişti, birbirimize sadece ses olmakla kalmadık, hepimiz birbirimize el uzattık, kapılar açtık. Başta niyetim bu olmasa da sadece kadın yazarları okumanın ve kadın okurlardan oluşan bir kulübe dahil olmanın son derece politik bir eylem olduğunu iyice anladım. "
637,"Bugün sokak hayvanlarının toplatılma kararına gösterdiğimiz tepkide, ekonomiden ettiğimiz şikayetle bile politiğiz. Çünkü sebepleri belli. Geçenlerde feminist, akademisyen Selda Tuncer ile Twitter’da bir sohbet odası açmıştık. Bir kadın, “ben feminist değilim,” diyerek yaptıklarını, yaşadıklarını anlatmıştı. Yaptıklarını sıradan şeyler görüyordu ama toplum, mevcut koşullar ve vicdanı onu bunları yapmaya itmişti. Kendini feminist olarak tanımlasın ya da tanımlamasın orada söyledikleri politikti. Seçimlerimize etki eden politika oldu. "
638,"Peki bu yazıyı neden yazdım? Ben de kendime soruyorum bunu. Bazen twitter kullanırken bile sorguluyorum kendimi. Öylesine yaptığım şeyler bile politik çünkü. Her şey bir mücadele. Çünkü burası Türkiye, bu ülke size kendinizle ilgilenme hakkı vermez. Bu ülkede bir kadın olarak yaptığınız her şeyin politik bir yansıması vardır. Bir kadın olarak yazmanız da politik bir eylemdir. Ben kaçmaya çalıştım ama yapamadım. Tek istediğim kendime yazarak yaşayabileceğim bir alan açmak, bir dünya kurmaktı. Yazdığım her öykü politik bir manifesto değil, öyle olmasını da istemem fakat yaşadıkça görüyorum aslında hepsi bir kadın olarak var olma çabası ve hepsi politik. Anne, ben politik oldum, farkına varmadan sadece kendim olmaya çalışarak politik bir özne oldum. "
639,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
640,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
641,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
642,Yazar: Meryem Selva
643,“Modern hamilelik kamusal bir deneyimdir. ‘Şiş’ insanları ona uzanıp dokunmaya davet eder.”(Alexandra Howson)﻿
644,"Her kadın doğum yapmak zorunda değildir ama her doğum biriciktir. Bedenden can bulan bedenler, sesler arasından tek bir sesin tecessümüdür: “Bir avazda doğur!” Ve cinsellik ne kadar mahrem addedilirse addedilsin hamile kaldığında kamuya da açılır beden. Dokunma dürtüsü sarar bir kadını, başka bir karına rahatça dokunabilmesine cesaret veren. Ne kadar sakınmaya ve saklamaya çalışırsa çalışsın hamilelik kamusal alanda kadının öznelliğinde onu yukarı taşıyan bir eşiktir de (burası oldukça ironik). Oysa bir yenilenme olduğu kadar bir yaralanmadır da doğum. Kimliğini çoğaltırken eksiltir de. Ne bedenin ne zihnin eskisi gibi kalabilir. O eşiği geçtiğinde “Anne”sindir artık ve karnındaki ağırlık kucağına verildiğinde tüm annelikler sırtına yüklenir, mitik, mistik, bilimsel öykülemeleriyle. Hafifledikçe ağırlaşırsın. Din kadın bedenini kutsadığında günahlarından arınma belgesidir doğum. Çocuk büyüdüğündeyse imtihanın. "
